"Date(UTC)","UnixTimeStamp","Value"
"1/25/2023","1674604800","120516751.401003423565163560"
"1/26/2023","1674691200","120516387.527978401086133459"
"1/27/2023","1674777600","120516008.133383019252435126"
"1/28/2023","1674864000","120516185.277072841638770032"
"1/29/2023","1674950400","120515970.276562002969138637"
"1/30/2023","1675036800","120515854.875000367225177438"
"1/31/2023","1675123200","120515068.884354767961542850"
"2/1/2023","1675209600","120514155.354918296190876683"
"2/2/2023","1675296000","120512970.773792627108792525"
"2/3/2023","1675382400","120511748.479077166855124093"
"2/4/2023","1675468800","120511167.612751400011374240"
"2/5/2023","1675555200","120510855.461673948742178266"
"2/6/2023","1675641600","120510124.109904329778821463"
"2/7/2023","1675728000","120508623.698048456401383756"
"2/8/2023","1675814400","120506902.840899119890037899"
"2/9/2023","1675900800","120504986.089603761813370508"
"2/10/2023","1675987200","120504127.855603781761164914"
"2/11/2023","1676073600","120504039.558684691822962980"
"2/12/2023","1676160000","120504034.870266870815532722"
"2/13/2023","1676246400","120503281.261699578655361083"
"2/14/2023","1676332800","120499496.982988216459988395"
"2/15/2023","1676419200","120497303.651701817272864676"
"2/16/2023","1676505600","120494983.686213831379574301"
"2/17/2023","1676592000","120493073.097731242244164022"
"2/18/2023","1676678400","120492064.382668841090610144"
"2/19/2023","1676764800","120491297.515613539021297326"
"2/20/2023","1676851200","120489859.481672861990971087"
"2/21/2023","1676937600","120488288.126633388872822474"
"2/22/2023","1677024000","120486359.147332031436313099"
"2/23/2023","1677110400","120484199.877091240545856407"
"2/24/2023","1677196800","120482782.822143398756833118"
"2/25/2023","1677283200","120482345.335170432774942917"
"2/26/2023","1677369600","120481967.546131151049303224"
"2/27/2023","1677456000","120481342.877801804951050957"
"2/28/2023","1677542400","120480593.456443343113432433"
"3/1/2023","1677628800","120479155.714400667135783746"
"3/2/2023","1677715200","120478083.816885202566367304"
"3/3/2023","1677801600","120476800.319760178153507141"
"3/4/2023","1677888000","120476177.014887087912372546"
"3/5/2023","1677974400","120475307.421364688235828253"
"3/6/2023","1678060800","120473588.715395474577258397"
"3/7/2023","1678147200","120472066.233810603503962976"
"3/8/2023","1678233600","120470457.755953580866994592"
"3/9/2023","1678320000","120468528.805068439373664751"
"3/10/2023","1678406400","120467105.650921450044657616"
"3/11/2023","1678492800","120459592.480109208135355084"
"3/12/2023","1678579200","120458956.260689558338313467"
"3/13/2023","1678665600","120457545.709838212913522588"
"3/14/2023","1678752000","120456195.989601223414913073"
"3/15/2023","1678838400","120455169.058640745571140671"
"3/16/2023","1678924800","120454483.221599989570252106"
"3/17/2023","1679011200","120453738.927960895182567705"
"3/18/2023","1679097600","120453713.781217269500201857"
"3/19/2023","1679184000","120453690.067310467033861986"
"3/20/2023","1679270400","120453373.698968114668410243"
"3/21/2023","1679356800","120453257.816178120172132844"
"3/22/2023","1679443200","120453023.422561743712643338"
"3/23/2023","1679529600","120452497.771646097538673713"
"3/24/2023","1679616000","120451924.643052893970099111"
"3/25/2023","1679702400","120451934.703180490134711410"
"3/26/2023","1679788800","120451943.732645085098373850"
"3/27/2023","1679875200","120450894.791377003559320390"
"3/28/2023","1679961600","120449902.028736503133182872"
"3/29/2023","1680048000","120448567.102526047677920568"
"3/30/2023","1680134400","120447009.827926997588176450"
